device,num_adversaries,f1,tp,fp,tn,fn,aggregation,injected
pi4-2gb-bc,3,83.49514563106796,430,0,150,170,trimmed_mean_2,pi3-1gb
pi4-2gb-wc,3,84.16988416988418,436,0,150,164,trimmed_mean_2,pi3-1gb
pi4-4gb,3,83.60814742967993,431,0,150,169,trimmed_mean_2,pi3-1gb
All,3,84.61902508282063,1788,38,562,612,trimmed_mean_2,pi3-1gb
pi3-1gb,4,68.96551724137932,330,27,123,270,trimmed_mean_2,pi3-1gb
pi4-2gb-bc,4,44.3579766536965,171,0,150,429,trimmed_mean_2,pi3-1gb
pi4-2gb-wc,4,51.668726823238565,209,0,150,391,trimmed_mean_2,pi3-1gb
pi4-4gb,4,47.13375796178344,185,0,150,415,trimmed_mean_2,pi3-1gb
All,4,53.88320288982541,895,27,573,1505,trimmed_mean_2,pi3-1gb
pi3-1gb,0,22.22222222222222,75,0,150,525,coordinate_wise_median,pi3-1gb
pi4-2gb-bc,0,66.96230598669622,302,0,150,298,coordinate_wise_median,pi3-1gb
pi4-2gb-wc,0,65.92178770949721,295,0,150,305,coordinate_wise_median,pi3-1gb
pi4-4gb,0,66.96230598669622,302,0,150,298,coordinate_wise_median,pi3-1gb
All,0,57.73562537048015,974,0,600,1426,coordinate_wise_median,pi3-1gb
pi3-1gb,1,31.9327731092437,114,0,150,486,coordinate_wise_median,pi3-1gb
pi4-2gb-bc,1,75.38940809968847,363,0,150,237,coordinate_wise_median,pi3-1gb
pi4-2gb-wc,1,73.01587301587301,345,0,150,255,coordinate_wise_median,pi3-1gb
pi4-4gb,1,76.28865979381445,370,0,150,230,coordinate_wise_median,pi3-1gb
All,1,66.36971046770601,1192,0,600,1208,coordinate_wise_median,pi3-1gb
pi3-1gb,2,68.13186813186815,310,0,150,290,coordinate_wise_median,pi3-1gb
pi4-2gb-bc,2,68.7089715536105,314,0,150,286,coordinate_wise_median,pi3-1gb
pi4-2gb-wc,2,67.25663716814158,304,0,150,296,coordinate_wise_median,pi3-1gb
pi4-4gb,2,68.13186813186815,310,0,150,290,coordinate_wise_median,pi3-1gb
All,2,68.05937328202309,1238,0,600,1162,coordinate_wise_median,pi3-1gb
pi3-1gb,3,82.21574344023324,423,6,144,177,coordinate_wise_median,pi3-1gb
pi4-2gb-bc,3,85.49618320610688,448,0,150,152,coordinate_wise_median,pi3-1gb
pi4-2gb-wc,3,85.38681948424069,447,0,150,153,coordinate_wise_median,pi3-1gb
pi4-4gb,3,85.27724665391969,446,0,150,154,coordinate_wise_median,pi3-1gb
All,3,84.60431654676258,1764,6,594,636,coordinate_wise_median,pi3-1gb
pi3-1gb,4,53.47985347985348,219,0,150,381,coordinate_wise_median,pi3-1gb
pi4-2gb-bc,4,66.51835372636263,299,0,150,301,coordinate_wise_median,pi3-1gb
pi4-2gb-wc,4,65.62150055991042,293,0,150,307,coordinate_wise_median,pi3-1gb
pi4-4gb,4,66.36971046770601,298,0,150,302,coordinate_wise_median,pi3-1gb
All,4,63.20889142205757,1109,0,600,1291,coordinate_wise_median,pi3-1gb
pi3-1gb,0,85.38681948424069,447,0,150,153,fed_avg,pi4-2gb-bc
