device,num_adversaries,f1,tp,fp,tn,fn,aggregation
pi4-2gb-wc,2,85.49618320610688,448,0,150,152,trimmed_mean_2
pi4-4gb,2,85.71428571428571,450,0,150,150,trimmed_mean_2
All,2,85.35944590398854,1787,0,600,613,trimmed_mean_2
pi3-1gb,3,36.51226158038147,134,0,150,466,trimmed_mean_2
pi4-2gb-bc,3,75.31120331950207,363,1,149,237,trimmed_mean_2
pi4-2gb-wc,3,77.92472024415056,383,0,150,217,trimmed_mean_2
pi4-4gb,3,73.79454926624739,352,2,148,248,trimmed_mean_2
All,3,67.78541953232462,1232,3,597,1168,trimmed_mean_2
pi3-1gb,4,24.561403508771928,84,0,150,516,trimmed_mean_2
pi4-2gb-bc,4,79.51807228915662,396,0,150,204,trimmed_mean_2
pi4-2gb-wc,4,79.03225806451613,392,0,150,208,trimmed_mean_2
pi4-4gb,4,79.51807228915662,396,0,150,204,trimmed_mean_2
All,4,69.13849509269356,1268,0,600,1132,trimmed_mean_2
pi3-1gb,5,1.3245033112582782,4,0,150,596,trimmed_mean_2
pi4-2gb-bc,5,83.56807511737088,534,144,6,66,trimmed_mean_2
pi4-2gb-wc,5,83.9907192575406,543,150,0,57,trimmed_mean_2
pi4-4gb,5,82.91536050156739,529,147,3,71,trimmed_mean_2
All,5,72.34329364187822,1610,441,159,790,trimmed_mean_2
pi3-1gb,6,30.268741159830277,107,0,150,493,trimmed_mean_2
pi4-2gb-bc,6,23.78854625550661,81,0,150,519,trimmed_mean_2
pi4-2gb-wc,6,26.589595375722542,92,0,150,508,trimmed_mean_2
pi4-4gb,6,23.52941176470588,80,0,150,520,trimmed_mean_2
All,6,26.08695652173913,360,0,600,2040,trimmed_mean_2
pi3-1gb,0,22.22222222222222,75,0,150,525,coordinate_wise_median
pi4-2gb-bc,0,66.96230598669622,302,0,150,298,coordinate_wise_median
pi4-2gb-wc,0,65.92178770949721,295,0,150,305,coordinate_wise_median
pi4-4gb,0,66.96230598669622,302,0,150,298,coordinate_wise_median
All,0,57.73562537048015,974,0,600,1426,coordinate_wise_median
pi3-1gb,1,13.374805598755831,43,0,150,557,coordinate_wise_median
pi4-2gb-bc,1,46.74329501915709,183,0,150,417,coordinate_wise_median
pi4-2gb-wc,1,47.32824427480916,186,0,150,414,coordinate_wise_median
pi4-4gb,1,50.0,200,0,150,400,coordinate_wise_median
All,1,40.63745019920319,612,0,600,1788,coordinate_wise_median
pi3-1gb,2,4.241435562805872,13,0,150,587,coordinate_wise_median
pi4-2gb-bc,2,62.06896551724138,270,0,150,330,coordinate_wise_median
pi4-2gb-wc,2,61.27167630057804,265,0,150,335,coordinate_wise_median
pi4-4gb,2,64.25339366515837,284,0,150,316,coordinate_wise_median
All,2,51.48514851485149,832,0,600,1568,coordinate_wise_median
pi3-1gb,3,13.374805598755831,43,0,150,557,coordinate_wise_median
pi4-2gb-bc,3,55.42168674698795,230,0,150,370,coordinate_wise_median
pi4-2gb-wc,3,52.760736196319016,215,0,150,385,coordinate_wise_median
pi4-4gb,3,56.287425149700596,235,0,150,365,coordinate_wise_median
