device,num_adversaries,f1,tp,fp,tn,fn,aggregation
pi4-2gb-wc,2,85.71428571428571,450,0,150,150,trimmed_mean_2
pi4-4gb,2,85.71428571428571,450,0,150,150,trimmed_mean_2
All,2,84.44872412132884,1754,0,600,646,trimmed_mean_2
pi3-1gb,3,0.6644518272425249,2,0,150,598,trimmed_mean_2
pi4-2gb-bc,3,0.9950248756218907,3,0,150,597,trimmed_mean_2
pi4-2gb-wc,3,0.33277870216306155,1,0,150,599,trimmed_mean_2
pi4-4gb,3,0.33277870216306155,1,0,150,599,trimmed_mean_2
All,3,0.581636892397175,7,0,600,2393,trimmed_mean_2
pi3-1gb,4,0.6644518272425249,2,0,150,598,trimmed_mean_2
pi4-2gb-bc,4,0.9950248756218907,3,0,150,597,trimmed_mean_2
pi4-2gb-wc,4,0.33277870216306155,1,0,150,599,trimmed_mean_2
pi4-4gb,4,0.33277870216306155,1,0,150,599,trimmed_mean_2
All,4,0.581636892397175,7,0,600,2393,trimmed_mean_2
pi3-1gb,5,0.9950248756218907,3,0,150,597,trimmed_mean_2
pi4-2gb-bc,5,1.3245033112582782,4,0,150,596,trimmed_mean_2
pi4-2gb-wc,5,0.6644518272425249,2,0,150,598,trimmed_mean_2
pi4-4gb,5,0.33277870216306155,1,0,150,599,trimmed_mean_2
All,5,0.8298755186721992,10,0,600,2390,trimmed_mean_2
pi3-1gb,6,0.0,0,0,150,600,trimmed_mean_2
pi4-2gb-bc,6,0.0,0,0,150,600,trimmed_mean_2
pi4-2gb-wc,6,0.33277870216306155,1,0,150,599,trimmed_mean_2
pi4-4gb,6,0.0,0,0,150,600,trimmed_mean_2
All,6,0.08329862557267806,1,0,600,2399,trimmed_mean_2
pi3-1gb,0,22.22222222222222,75,0,150,525,coordinate_wise_median
pi4-2gb-bc,0,66.96230598669622,302,0,150,298,coordinate_wise_median
pi4-2gb-wc,0,65.92178770949721,295,0,150,305,coordinate_wise_median
pi4-4gb,0,66.96230598669622,302,0,150,298,coordinate_wise_median
All,0,57.73562537048015,974,0,600,1426,coordinate_wise_median
pi3-1gb,1,22.22222222222222,75,0,150,525,coordinate_wise_median
pi4-2gb-bc,1,54.191980558930744,223,0,150,377,coordinate_wise_median
pi4-2gb-wc,1,54.54545454545454,225,0,150,375,coordinate_wise_median
pi4-4gb,1,53.47985347985348,219,0,150,381,coordinate_wise_median
All,1,47.2310630171865,742,0,600,1658,coordinate_wise_median
pi3-1gb,2,15.384615384615385,50,0,150,550,coordinate_wise_median
pi4-2gb-bc,2,46.35083226632523,181,0,150,419,coordinate_wise_median
pi4-2gb-wc,2,47.522236340533674,187,0,150,413,coordinate_wise_median
pi4-4gb,2,45.16129032258064,175,0,150,425,coordinate_wise_median
All,2,39.62579351820915,593,0,600,1807,coordinate_wise_median
pi3-1gb,3,22.22222222222222,75,0,150,525,coordinate_wise_median
pi4-2gb-bc,3,52.94117647058824,216,0,150,384,coordinate_wise_median
pi4-2gb-wc,3,52.579852579852584,214,0,150,386,coordinate_wise_median
pi4-4gb,3,50.56039850560398,203,0,150,397,coordinate_wise_median
All,3,45.559845559845556,708,0,600,1692,coordinate_wise_median
pi3-1gb,4,2.3064250411861615,7,0,150,593,coordinate_wise_median
pi4-2gb-bc,4,56.287425149700596,235,0,150,365,coordinate_wise_median
pi4-2gb-wc,4,56.801909307875896,238,0,150,362,coordinate_wise_median
pi4-4gb,4,56.11510791366906,234,0,150,366,coordinate_wise_median
All,4,45.857418111753375,714,0,600,1686,coordinate_wise_median
pi3-1gb,5,0.0,0,0,150,600,coordinate_wise_median
pi4-2gb-bc,5,22.22222222222222,75,0,150,525,coordinate_wise_median
pi4-2gb-wc,5,25.834542815674894,89,0,150,511,coordinate_wise_median
pi4-4gb,5,21.958456973293767,74,0,150,526,coordinate_wise_median
All,5,18.043972706595905,238,0,600,2162,coordinate_wise_median
pi3-1gb,6,7.6923076923076925,24,0,150,576,coordinate_wise_median
pi4-2gb-bc,6,23.52941176470588,80,0,150,520,coordinate_wise_median
pi4-2gb-wc,6,27.33812949640288,95,0,150,505,coordinate_wise_median
pi4-4gb,6,25.327510917030565,87,0,150,513,coordinate_wise_median
All,6,21.295606850335073,286,0,600,2114,coordinate_wise_median
