device,num_adversaries,f1,tp,fp,tn,fn,aggregation
pi4-4gb,4,0.24968789013732834,1,0,200,799,trimmed_mean_2
All,4,0.31201248049922004,5,0,800,3195,trimmed_mean_2
pi3-1gb,5,0.4987531172069826,2,0,200,798,trimmed_mean_2
pi4-2gb-bc,5,0.24968789013732834,1,0,200,799,trimmed_mean_2
pi4-2gb-wc,5,0.24968789013732834,1,0,200,799,trimmed_mean_2
pi4-4gb,5,0.24968789013732834,1,0,200,799,trimmed_mean_2
All,5,0.31201248049922004,5,0,800,3195,trimmed_mean_2
pi3-1gb,6,0.0,0,0,200,800,trimmed_mean_2
pi4-2gb-bc,6,0.24968789013732834,1,0,200,799,trimmed_mean_2
pi4-2gb-wc,6,0.24968789013732834,1,0,200,799,trimmed_mean_2
pi4-4gb,6,0.0,0,0,200,800,trimmed_mean_2
All,6,0.12492192379762648,2,0,800,3198,trimmed_mean_2
pi3-1gb,0,88.8888888888889,800,200,0,0,coordinate_wise_median
pi4-2gb-bc,0,85.93639575971733,608,7,193,192,coordinate_wise_median
pi4-2gb-wc,0,85.97733711048159,607,5,195,193,coordinate_wise_median
pi4-4gb,0,85.91749644381223,604,2,198,196,coordinate_wise_median
All,0,86.82247637991048,2619,214,586,581,coordinate_wise_median
pi3-1gb,1,88.8888888888889,800,200,0,0,coordinate_wise_median
pi4-2gb-bc,1,85.93639575971733,608,7,193,192,coordinate_wise_median
pi4-2gb-wc,1,85.79545454545455,604,4,196,196,coordinate_wise_median
pi4-4gb,1,85.91749644381223,604,2,198,196,coordinate_wise_median
All,1,86.78056062365233,2616,213,587,584,coordinate_wise_median
pi3-1gb,2,88.8888888888889,800,200,0,0,coordinate_wise_median
pi4-2gb-bc,2,85.997171145686,608,6,194,192,coordinate_wise_median
pi4-2gb-wc,2,85.91749644381223,604,2,198,196,coordinate_wise_median
pi4-4gb,2,85.91749644381223,604,2,198,196,coordinate_wise_median
All,2,86.82376369067374,2616,210,590,584,coordinate_wise_median
pi3-1gb,3,88.8888888888889,800,200,0,0,coordinate_wise_median
pi4-2gb-bc,3,85.997171145686,608,6,194,192,coordinate_wise_median
pi4-2gb-wc,3,85.91749644381223,604,2,198,196,coordinate_wise_median
pi4-4gb,3,85.91749644381223,604,2,198,196,coordinate_wise_median
All,3,86.82376369067374,2616,210,590,584,coordinate_wise_median
pi3-1gb,4,83.70860927152319,632,78,122,168,coordinate_wise_median
pi4-2gb-bc,4,86.05803255484786,608,5,195,192,coordinate_wise_median
pi4-2gb-wc,4,86.03988603988604,604,0,200,196,coordinate_wise_median
pi4-4gb,4,85.83629893238435,603,2,198,197,coordinate_wise_median
All,4,85.38032100488485,2447,85,715,753,coordinate_wise_median
pi3-1gb,5,85.83569405099149,606,6,194,194,coordinate_wise_median
pi4-2gb-bc,5,86.01694915254237,609,7,193,191,coordinate_wise_median
pi4-2gb-wc,5,85.33333333333333,608,17,183,192,coordinate_wise_median
pi4-4gb,5,86.01845280340667,606,3,197,194,coordinate_wise_median
All,5,85.80007064641468,2429,33,767,771,coordinate_wise_median
pi3-1gb,6,85.95744680851062,606,4,196,194,coordinate_wise_median
pi4-2gb-bc,6,85.8151023288638,608,9,191,192,coordinate_wise_median
pi4-2gb-wc,6,85.91648973814578,607,6,194,193,coordinate_wise_median
pi4-4gb,6,85.77524893314367,603,3,197,197,coordinate_wise_median
All,6,85.86609989373008,2424,22,778,776,coordinate_wise_median
