device,num_adversaries,f1,tp,fp,tn,fn,aggregation,injected
All,4,86.74618952948973,2618,218,582,582,trimmed_mean_2,pi3-1gb
pi3-1gb,0,88.8888888888889,800,200,0,0,coordinate_wise_median,pi3-1gb
pi4-2gb-bc,0,85.93639575971733,608,7,193,192,coordinate_wise_median,pi3-1gb
pi4-2gb-wc,0,85.97733711048159,607,5,195,193,coordinate_wise_median,pi3-1gb
pi4-4gb,0,85.91749644381223,604,2,198,196,coordinate_wise_median,pi3-1gb
All,0,86.82247637991048,2619,214,586,581,coordinate_wise_median,pi3-1gb
pi3-1gb,1,88.8888888888889,800,200,0,0,coordinate_wise_median,pi3-1gb
pi4-2gb-bc,1,85.75458392101551,608,10,190,192,coordinate_wise_median,pi3-1gb
pi4-2gb-wc,1,85.49295774647888,607,13,187,193,coordinate_wise_median,pi3-1gb
pi4-4gb,1,85.51236749116607,605,10,190,195,coordinate_wise_median,pi3-1gb
All,1,86.56864364777796,2620,233,567,580,coordinate_wise_median,pi3-1gb
pi3-1gb,2,88.8888888888889,800,200,0,0,coordinate_wise_median,pi3-1gb
pi4-2gb-bc,2,86.19718309859155,612,8,192,188,coordinate_wise_median,pi3-1gb
pi4-2gb-wc,2,86.11111111111113,620,20,180,180,coordinate_wise_median,pi3-1gb
pi4-4gb,2,85.79465541490858,610,12,188,190,coordinate_wise_median,pi3-1gb
All,2,86.87931601446893,2642,240,560,558,coordinate_wise_median,pi3-1gb
pi3-1gb,3,88.8888888888889,800,200,0,0,coordinate_wise_median,pi3-1gb
pi4-2gb-bc,3,86.01694915254237,609,7,193,191,coordinate_wise_median,pi3-1gb
pi4-2gb-wc,3,85.85572842998586,607,7,193,193,coordinate_wise_median,pi3-1gb
pi4-4gb,3,85.69424964936886,611,15,185,189,coordinate_wise_median,pi3-1gb
All,3,86.75693527080581,2627,229,571,573,coordinate_wise_median,pi3-1gb
pi3-1gb,4,88.8888888888889,800,200,0,0,coordinate_wise_median,pi3-1gb
pi4-2gb-bc,4,86.45614035087719,616,9,191,184,coordinate_wise_median,pi3-1gb
pi4-2gb-wc,4,85.83569405099149,606,6,194,194,coordinate_wise_median,pi3-1gb
pi4-4gb,4,85.51336146272855,608,14,186,192,coordinate_wise_median,pi3-1gb
All,4,86.81300544644331,2630,229,571,570,coordinate_wise_median,pi3-1gb
pi3-1gb,0,85.91648973814578,607,6,194,193,fed_avg,pi4-2gb-bc
pi4-2gb-bc,0,86.05803255484786,608,5,195,192,fed_avg,pi4-2gb-bc
pi4-2gb-wc,0,86.03988603988604,604,0,200,196,fed_avg,pi4-2gb-bc
pi4-4gb,0,85.83629893238435,603,2,198,197,fed_avg,pi4-2gb-bc
All,0,85.96273291925466,2422,13,787,778,fed_avg,pi4-2gb-bc
pi3-1gb,1,69.1116544417278,424,3,197,376,fed_avg,pi4-2gb-bc
pi4-2gb-bc,1,51.84501845018451,281,3,197,519,fed_avg,pi4-2gb-bc
pi4-2gb-wc,1,53.21100917431192,290,0,200,510,fed_avg,pi4-2gb-bc
pi4-4gb,1,48.536355051935786,257,2,198,543,fed_avg,pi4-2gb-bc
All,1,56.14349775784754,1252,8,792,1948,fed_avg,pi4-2gb-bc
pi3-1gb,2,62.95979469632164,368,1,199,432,fed_avg,pi4-2gb-bc
pi4-2gb-bc,2,35.78732106339468,175,3,197,625,fed_avg,pi4-2gb-bc
pi4-2gb-wc,2,39.19597989949749,195,0,200,605,fed_avg,pi4-2gb-bc
pi4-4gb,2,36.86354378818738,181,1,199,619,fed_avg,pi4-2gb-bc
All,2,44.568380213385055,919,5,795,2281,fed_avg,pi4-2gb-bc
pi3-1gb,3,55.23465703971119,306,2,198,494,fed_avg,pi4-2gb-bc
pi4-2gb-bc,3,5.569007263922518,23,3,197,777,fed_avg,pi4-2gb-bc
pi4-2gb-wc,3,9.750297265160523,41,0,200,759,fed_avg,pi4-2gb-bc
pi4-4gb,3,8.60215053763441,36,1,199,764,fed_avg,pi4-2gb-bc
All,3,22.480620155038757,406,6,794,2794,fed_avg,pi4-2gb-bc
pi3-1gb,4,48.39319470699433,256,2,198,544,fed_avg,pi4-2gb-bc
pi4-2gb-bc,4,4.860267314702309,20,3,197,780,fed_avg,pi4-2gb-bc
pi4-2gb-wc,4,7.923169267707084,33,0,200,767,fed_avg,pi4-2gb-bc
pi4-4gb,4,7.913669064748202,33,1,199,767,fed_avg,pi4-2gb-bc
All,4,19.278466741826385,342,6,794,2858,fed_avg,pi4-2gb-bc
pi3-1gb,0,88.8888888888889,800,200,0,0,trimmed_mean,pi4-2gb-bc
pi4-2gb-bc,0,85.93639575971733,608,7,193,192,trimmed_mean,pi4-2gb-bc
pi4-2gb-wc,0,85.91749644381223,604,2,198,196,trimmed_mean,pi4-2gb-bc
pi4-4gb,0,85.91749644381223,604,2,198,196,trimmed_mean,pi4-2gb-bc
All,0,86.80935788949726,2616,211,589,584,trimmed_mean,pi4-2gb-bc
pi3-1gb,1,69.37449228269699,427,4,196,373,trimmed_mean,pi4-2gb-bc
pi4-2gb-bc,1,53.06495882891126,290,3,197,510,trimmed_mean,pi4-2gb-bc
pi4-2gb-wc,1,53.88127853881279,295,0,200,505,trimmed_mean,pi4-2gb-bc
pi4-4gb,1,49.24812030075188,262,2,198,538,trimmed_mean,pi4-2gb-bc
All,1,56.83693954940887,1274,9,791,1926,trimmed_mean,pi4-2gb-bc
pi3-1gb,2,69.00489396411093,423,3,197,377,trimmed_mean,pi4-2gb-bc
pi4-2gb-bc,2,52.88197621225983,289,4,196,511,trimmed_mean,pi4-2gb-bc
pi4-2gb-wc,2,54.14767547857794,297,0,200,503,trimmed_mean,pi4-2gb-bc
pi4-4gb,2,49.10630291627469,261,2,198,539,trimmed_mean,pi4-2gb-bc
All,2,56.70908684974324,1270,9,791,1930,trimmed_mean,pi4-2gb-bc
pi3-1gb,3,49.34333958724202,263,3,197,537,trimmed_mean,pi4-2gb-bc
pi4-2gb-bc,3,5.569007263922518,23,3,197,777,trimmed_mean,pi4-2gb-bc
pi4-2gb-wc,3,10.201660735468565,43,0,200,757,trimmed_mean,pi4-2gb-bc
pi4-4gb,3,9.285714285714286,39,1,199,761,trimmed_mean,pi4-2gb-bc
All,3,20.587412587412587,368,7,793,2832,trimmed_mean,pi4-2gb-bc
pi3-1gb,4,42.89911851126347,219,2,198,581,trimmed_mean,pi4-2gb-bc
pi4-2gb-bc,4,3.4271725826193395,14,3,197,786,trimmed_mean,pi4-2gb-bc
pi4-2gb-wc,4,5.115712545676004,21,0,200,779,trimmed_mean,pi4-2gb-bc
pi4-4gb,4,5.34629404617254,22,1,199,778,trimmed_mean,pi4-2gb-bc
All,4,15.852958070074669,276,6,794,2924,trimmed_mean,pi4-2gb-bc
pi3-1gb,0,88.8888888888889,800,200,0,0,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-bc,0,85.93639575971733,608,7,193,192,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-wc,0,85.85643212508883,604,3,197,196,trimmed_mean_2,pi4-2gb-bc
pi4-4gb,0,85.85643212508883,604,3,197,196,trimmed_mean_2,pi4-2gb-bc
All,0,86.78056062365233,2616,213,587,584,trimmed_mean_2,pi4-2gb-bc
pi3-1gb,1,68.68356500408831,420,3,197,380,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-bc,1,45.725264169068204,238,3,197,562,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-wc,1,47.61904761904761,250,0,200,550,trimmed_mean_2,pi4-2gb-bc
pi4-4gb,1,44.011684518013624,226,1,199,574,trimmed_mean_2,pi4-2gb-bc
All,1,52.24602626123013,1134,7,793,2066,trimmed_mean_2,pi4-2gb-bc
pi3-1gb,2,69.64285714285714,429,3,197,371,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-bc,2,52.389705882352935,285,3,197,515,trimmed_mean_2,pi4-2gb-bc
